Institution Index,Institution,Last Name,First Name,Ph.D. Graduation Year,Ph.D. Graduate School,Research Interest,H-index,Citations,Publications,Publications Divided by Co-authors
40,Carnegie Mellon University,Xing,Eric,2004,University of California - Berkeley,Machine learning & data mining,88,33507,194,57.7
40,Carnegie Mellon University,Hebert,Martial,1983,Université de Paris,"Computer vision,Robotics",106,46928,178,63.3
40,Carnegie Mellon University,Choset,Howie,1996,California Institute of Technology,Robotics,65,20299,142,41.6
40,Carnegie Mellon University,Kanade,Takeo,1974,Kyoto University,"Computer vision,Robotics",162,162392,141,49.6
40,Carnegie Mellon University,Faloutsos,Christos,1987,University of Toronto,"Machine learning & data mining,Databases",135,93705,133,39.5
40,Carnegie Mellon University,Sandholm,Tuomas,1996,University of Massachusetts Amherst,Artificial intelligence,85,25700,132,54.8
40,Carnegie Mellon University,Gupta,Abhinav,2009,University of Maryland - College Park,Computer vision,68,23338,95,28.7
40,Carnegie Mellon University,Woodruff,David,2007,Massachusetts Institute of Technology,Algorithms & complexity,46,7844,94,36.8
40,Carnegie Mellon University,Neubig,Graham,2012,Kyoto University,Natural language processing,42,6990,81,22.3
40,Carnegie Mellon University,Likhachev,Maxim,2005,Carnegie Mellon University,Robotics,50,12124,80,28.1
40,Carnegie Mellon University,Hudson,Scott,1986,University of Colorado Boulder,Human-computer interaction,68,15234,79,25
40,Carnegie Mellon University,Mitchell,Tom,1979,Stanford University,"Natural language processing,Artificial intelligence",23,2506,76,27.1
40,Carnegie Mellon University,Bagnell,Andrew,2004,Carnegie Mellon University,Robotics,60,20089,75,22.2
40,Carnegie Mellon University,Ravikumar,Pradeep,2007,Carnegie Mellon University,Machine learning & data mining,41,12298,74,21
40,Carnegie Mellon University,Guruswami,Venkatesan,2001,Massachusetts Institute of Technology,Algorithms & complexity,51,10386,73,30.7
40,Carnegie Mellon University,Ramanan,Deva,2005,University of California - Berkeley,Computer vision,64,42018,73,27.3
40,Carnegie Mellon University,Gupta,Anupam,2000,University of California - Berkeley,Algorithms & complexity,54,10234,72,23.8
40,Carnegie Mellon University,Atkeson,Christopher,1986,Massachusetts Institute of Technology,Robotics,74,26034,64,25.6
40,Carnegie Mellon University,Myers,Brad,1987,University of Toronto,Human-computer interaction,87,30867,62,25.1
40,Carnegie Mellon University,Yang,Yiming,1986,Kyoto University,"Machine learning & data mining,The Web & information retrieval",56,34919,60,21.4
40,Carnegie Mellon University,Mason,Matthew,1982,Massachusetts Institute of Technology,Robotics,47,13942,59,23.4
40,Carnegie Mellon University,Hodgins,Jessica,1989,Carnegie Mellon University,Computer graphics,74,21472,57,19.3
40,Carnegie Mellon University,Rajkumar,Ragunathan,2004,Columbia University,Embedded & real-time systems,70,23811,57,17.7
40,Carnegie Mellon University,Gordon,Geoffrey,1999,Carnegie Mellon University,Machine learning & data mining,30,4733,55,21.4
40,Carnegie Mellon University,Narasimhan,Srinivasa,2003,Columbia University,Computer vision,44,11404,55,17.8
40,Carnegie Mellon University,Hong,Jason,2005,University of California - Berkeley,Human-computer interaction,71,24298,54,14.1
40,Carnegie Mellon University,Seshan,Srinivasan,1995,University of California - Berkeley,Computer networks,66,24693,53,11.7
40,Carnegie Mellon University,Shi,Elaine,2008,Carnegie Mellon University,Computer security,64,22244,53,13.3
40,Carnegie Mellon University,Frieze,Alan,1975,University of London,Algorithms & complexity,68,20243,52,20.3
40,Carnegie Mellon University,Harrison,Chris,2013,Carnegie Mellon University,Human-computer interaction,46,7369,51,14.3
40,Carnegie Mellon University,Clarke,Edmund,1976,Cornell University,Logic & verification,101,76729,49,16.6
40,Carnegie Mellon University,Gibbons,Phillip,1989,University of California - Berkeley,"Databases,Computer architecture",78,24224,49,12.3
40,Carnegie Mellon University,Cranor,Lorrie,1996,Washington University in St. Louis,Human-computer interaction,95,31990,48,8.3
40,Carnegie Mellon University,Goyal,Vipul,2009,University of California - Los Angeles,"Cryptography,Algorithms & complexity",37,10752,48,17.9
40,Carnegie Mellon University,Balcan,Maria-Florina,2008,Carnegie Mellon University,Machine learning & data mining,41,6128,47,15.1
40,Carnegie Mellon University,Andersen,David,2005,Massachusetts Institute of Technology,Computer networks,62,18743,46,10.1
40,Carnegie Mellon University,Lucey,Simon,2003,Queensland University of Technology,Computer vision,46,8997,46,16.3
40,Carnegie Mellon University,Miller,Gary,1975,University of California - Berkeley,Algorithms & complexity,60,12782,46,19.7
40,Carnegie Mellon University,Sekar,Vyas,2010,Carnegie Mellon University,Computer networks,54,13740,45,8.8
40,Carnegie Mellon University,Callan,James,1993,University of Massachusetts Amherst,The Web & information retrieval,65,13089,44,18.3
40,Carnegie Mellon University,Zico,Kolter,2010,Stanford University,Machine learning & data mining,38,10626,43,16.6
40,Carnegie Mellon University,Morency,Louis-Philippe,2006,Massachusetts Institute of Technology,"Natural language processing,Computer vision",64,15154,43,10.1
40,Carnegie Mellon University,Bryant,Randal,1981,Massachusetts Institute of Technology,"Design automation,Logic & verification",58,29319,41,17.5
40,Carnegie Mellon University,O'Donnell,Ryan,2003,Massachusetts Institute of Technology,Algorithms & complexity,40,5435,41,16.2
40,Carnegie Mellon University,Forlizzi,Jodi,2007,Carnegie Mellon University,Human-computer interaction,71,20306,40,9.8
40,Carnegie Mellon University,Mowry,Todd,1994,Stanford University,Computer architecture,54,10506,39,9.4
40,Carnegie Mellon University,Steenkiste,Peter,1987,Stanford University,"Computer networks,High-performance computing",63,16785,39,13.6
40,Carnegie Mellon University,Christin,Nicolas,2003,University of Virginia,"Computer security,Human-computer interaction",47,9894,38,9.5
40,Carnegie Mellon University,Kraut,Robert,1973,Yale University,Human-computer interaction,109,53404,37,10.6
40,Carnegie Mellon University,Ganger,Gregory,1995,University of Michigan,Operating systems,77,19482,36,8.6
40,Carnegie Mellon University,Siewiorek,Daniel,1972,Stanford University,Design automation,47,7708,36,12.5
40,Carnegie Mellon University,Marculescu,Diana,1998,University of Southern California,Design automation,47,7708,34,11.4
40,Carnegie Mellon University,Nourbakhsh,Illah,1997,Stanford University,Robotics,54,54,34,12.5
40,Carnegie Mellon University,Sadeh,Norman,1991,Carnegie Mellon University,Human-computer interaction,,,34,7.3
40,Carnegie Mellon University,Whittaker,William,1979,Carnegie Mellon University,Robotics,26,4387,34,8.5
40,Carnegie Mellon University,Blelloch,Guy,1988,Massachusetts Institute of Technology,"Programming languages,Algorithms & complexity",56,15353,32,12
40,Carnegie Mellon University,Li,Yuanzhi,2018,Princeton University,Machine learning & data mining,25,2993,32,12.1
40,Carnegie Mellon University,Zimmerman,John,,,Human-computer interaction,50,14890,32,8.2
40,Carnegie Mellon University,Zhang,Kun,2009,Chinese University of Hong Kong,Machine learning & data mining,31,4501,31,7.5
40,Carnegie Mellon University,Harper,Robert,1985,Cornell University,Programming languages,28,2398,31,11.6
40,Carnegie Mellon University,Goldstein,Seth,1997,University of California - Berkeley,Robotics,43,11187,30,8.8
40,Carnegie Mellon University,Brumley,David,2008,Carnegie Mellon University,Computer security,41,10228,29,8
40,Carnegie Mellon University,Moseley,Benjamin,2012,University of Illinois at Urbana-Champaign,Algorithms & complexity,22,2355,29,9.6
40,Carnegie Mellon University,Pollard,Nancy,1994,Massachusetts Institute of Technology,Robotics,40,6925,29,10.9
40,Carnegie Mellon University,Bauer,Lujo,1997,Yale University,"Human-computer interaction,Computer security",48,8311,28,4.5
40,Carnegie Mellon University,Harchol-Balter,Mor,1996,University of California - Berkeley,Measurement & perf. analysis,50,11049,27,9.4
40,Carnegie Mellon University,Pavlo,Andrew,2013,Brown University,Databases,32,5694,27,5.9
40,Carnegie Mellon University,Erdmann,Michael,1989,Massachusetts Institute of Technology,Robotics,25,6182,26,13.1
40,Carnegie Mellon University,Kelly,Alonzo,1995,Carnegie Mellon University,Robotics,51,11423,26,11.4
40,Carnegie Mellon University,Kiesler,Sara,1965,Stanford University,Human-computer interaction,102,64910,26,6.8
40,Carnegie Mellon University,Rosé,Carolyn,1997,Carnegie Mellon University,Natural language processing,53,11324,26,8
40,Carnegie Mellon University,Singh,Aarti,2008,University of Wisconsin - Madison,Machine learning & data mining,24,8909,26,7.8
40,Carnegie Mellon University,Black,Alan,1993,University of Edinburgh,Natural language processing,65,21557,25,6.8
40,Carnegie Mellon University,Goyal,Mayank,2016,University of Washington,Human-computer interaction,75,37370,25,5.4
40,Carnegie Mellon University,Haeupler,Bernhard,2013,Massachusetts Institute of Technology,Algorithms & complexity,27,2335,25,11.7
40,Carnegie Mellon University,Kittur,Aniket,2007,University of California - Los Angeles,Human-computer interaction,41,11677,25,7.5
40,Carnegie Mellon University,Zhu,Jun-Yan,2017,University of California - Berkeley,Computer vision,27,18977,25,4.8
40,Carnegie Mellon University,Gligor,Virgil,1976,University of California - Berkeley,Computer security,43,11537,24,10.8
40,Carnegie Mellon University,Parno,Bryan,2010,Carnegie Mellon University,Computer security,38,12537,24,5
40,Carnegie Mellon University,Bar-Joseph,Ziv,2003,Massachusetts Institute of Technology,Comp. bio & bioinformatics,51,15948,23,7.3
40,Carnegie Mellon University,Datta,Anupam,2005,Stanford University,Computer security,42,7845,23,5.5
40,Carnegie Mellon University,Kästner,Christian,2010,University of Magdeburg,Software engineering,59,11934,23,5.6
40,Carnegie Mellon University,Pfenning,Frank,1987,Carnegie Mellon University,"Logic & verification,Programming languages",64,15529,23,12.2
40,Carnegie Mellon University,Fang,Fei,2016,University of Southern California,Artificial intelligence,20,1373,22,4.4
40,Carnegie Mellon University,Herbsleb,James,1984,University of Nebraska,Software engineering,61,22060,22,8.1
40,Carnegie Mellon University,Lucia,Brandon,2013,University of Washington,Computer architecture,24,2317,22,7.8
40,Carnegie Mellon University,Blum,Manuel,1964,Massachusetts Institute of Technology,Algorithms & complexity,47,16775,21,9.1
40,Carnegie Mellon University,Bisk,Yonatan,2015,University of Illinois at Urbana-Champaign,Natural language processing,19,1370,20,4.9
40,Carnegie Mellon University,Fredrikson,Matt,2015,University of Wisconsin - Madison,Computer security,24,4572,20,5.6
40,Carnegie Mellon University,Satyanarayanan,Mahadev,1983,Carnegie Mellon University,"Mobile computing,Operating systems",80,36217,20,7.7
40,Carnegie Mellon University,Kothari,Pravesh,2016,University of Texas at Austin,Algorithms & complexity,22,1376,19,5.4
40,Carnegie Mellon University,Tsvetkov,Yulia,2016,Carnegie Mellon University,Natural language processing,23,2117,19,5.3
40,Carnegie Mellon University,Acar,Umut,2005,Carnegie Mellon University,Programming languages,30,3322,18,4.8
40,Carnegie Mellon University,Agarwal,Yuvraj,2009,University of California - San Diego,Human-computer interaction,36,5975,18,4.2
40,Carnegie Mellon University,Geyer,Hartmut,2005,Friedrich Schiller University Jena,Robotics,31,5510,18,6.3
40,Carnegie Mellon University,Ghani,Rayid,2001,Carnegie Mellon University,Machine learning & data mining,32,5014,18,6
40,Carnegie Mellon University,Marculescu,Radu,1998,University of Southern California,Design automation,55,13400,18,6.2
40,Carnegie Mellon University,Fragkiadaki,Katerina,2013,University of Pennsylvania,Computer vision,15,2230,17,5.1
40,Carnegie Mellon University,Hoe,James,2000,Massachusetts Institute of Technology,"Computer architecture,Design automation",40,6708,17,4.8
40,Carnegie Mellon University,Kingsford,Carl,2005,Princeton University,Comp. bio & bioinformatics,29,7863,17,5.9
40,Carnegie Mellon University,McCann,James,2010,Carnegie Mellon University,"Human-computer interaction,Computer graphics",14,948,17,4.9
40,Carnegie Mellon University,Crane,Keenan,2013,California Institute of Technology,Computer graphics,21,2316,16,5.1
40,Carnegie Mellon University,Held,David,2016,Stanford University,Robotics,16,2912,16,4.5
40,Carnegie Mellon University,Jahanian,Farnam,1989,University of Texas at Austin,"Embedded & real-time systems,Computer networks",49,10731,16,5.8
40,Carnegie Mellon University,Nyberg,Eric,1992,Carnegie Mellon University,Natural language processing,40,6729,16,5.1
40,Carnegie Mellon University,Rudich,Steven,1988,University of California - Berkeley,Algorithms & complexity,25,5449,16,6.4
40,Carnegie Mellon University,Talwalkar,Ameet,2010,New York University,Machine learning & data mining,37,10141,16,4.2
40,Carnegie Mellon University,Yao,Lining,2017,Massachusetts Institute of Technology,Human-computer interaction,15,977,16,2.4
40,Carnegie Mellon University,Hoffmann,Jan,2011,Ludwig Maximilian University of Munich,Programming languages,20,1295,15,4.7
40,Carnegie Mellon University,Gkioulekas,Ioannis,2016,Harvard University,"Computer graphics,Computer vision",14,583,15,4
40,Carnegie Mellon University,O'Hallaron,David,1986,University of Virginia,High-performance computing,38,6180,15,4.4
40,Carnegie Mellon University,Vasilescu,Bogdan,2014,Eindhoven University of Technology,Software engineering,30,3001,15,3.5
40,Carnegie Mellon University,Crary,Karl,1998,Cornell University,Programming languages,28,4421,14,7.6
40,Carnegie Mellon University,Dabbish,Laura,2007,Carnegie Mellon University,Human-computer interaction,37,9898,14,4.3
40,Carnegie Mellon University,Garlan,David,1987,Carnegie Mellon University,Software engineering,77,36650,14,4.7
40,Carnegie Mellon University,Krogh,Bruce,1982,University of Illinois at Urbana-Champaign,Robotics,62,16260,14,4.7
40,Carnegie Mellon University,O'Toole,Matthew,2016,University of Toronto,"Computer vision,Computer graphics",16,1163,14,3.7
